step,SUN397,Cars,RESISC45,EuroSAT,SVHN,GTSRB,MNIST,DTD
1000,0.7237783375314861,0.7882104215893545,0.912063492063492,0.9496296296296296,0.9467578365089121,0.957403008709422,0.9922,0.7430851063829788
900,0.7269521410579345,0.786842432533267,0.9014285714285715,0.9474074074074074,0.9484480639213276,0.9556611243072051,0.9921,0.7484042553191489
800,0.7205037783375314,0.7895784106454421,0.9085714285714286,0.937037037037037,0.9469114935464045,0.9557403008709422,0.9916,0.7409574468085106
700,0.7202518891687657,0.7910707623429921,0.8974603174603175,0.9377777777777778,0.9449523663183774,0.9523357086302454,0.9911,0.7414893617021276
600,0.7151133501259446,0.7884591468722796,0.9033333333333333,0.9266666666666666,0.9426090964966195,0.9498812351543943,0.9904,0.7308510638297873
500,0.7109319899244333,0.7781370476308916,0.8938095238095238,0.9188888888888889,0.9404578979717271,0.9462391132224861,0.9896,0.7186170212765958
400,0.7061460957178841,0.7673174978236538,0.8774603174603175,0.9037037037037037,0.9341963736939152,0.942596991290578,0.9886,0.6787234042553192
300,0.6943576826196474,0.7249098370849397,0.8596825396825397,0.8911111111111111,0.9217501536570375,0.9416468725257324,0.9848,0.6457446808510638
200,0.6841309823677582,0.666086307673175,0.8234920634920635,0.8348148148148148,0.8910571604179471,0.9305621536025337,0.9742,0.5627659574468085
100,0.6253400503778338,0.5951996020395474,0.7544444444444445,0.8003703703703704,0.849838660110633,0.8164687252573238,0.9604,0.49946808510638296
