step,SUN397,Cars,RESISC45,EuroSAT,SVHN,GTSRB,MNIST,DTD
1000,0.8110327455919395,0.9298594702151474,0.950952380952381,0.9792592592592593,0.9672326367547633,0.9828978622327791,0.9935,0.8085106382978723
900,0.8114357682619647,0.9297351075736848,0.9466666666666667,0.9785185185185186,0.9678088506453596,0.982185273159145,0.9932,0.8095744680851064
800,0.8082115869017632,0.9291132943663724,0.950952380952381,0.9729629629629629,0.9672710510141365,0.9827395091053048,0.9931,0.8074468085106383
700,0.8074055415617128,0.9284914811590598,0.9419047619047619,0.9737037037037037,0.9660417947141979,0.9808392715756136,0.9932,0.8111702127659575
600,0.8025692695214106,0.9281183932346723,0.9468253968253968,0.97,0.9642363245236631,0.9802058590657166,0.9927,0.8042553191489362
500,0.7987405541561713,0.9276209426688223,0.9431746031746032,0.9674074074074074,0.9619314689612785,0.979889152810768,0.9922,0.7920212765957447
400,0.7949622166246851,0.9261285909712722,0.9387301587301587,0.9607407407407408,0.9565150583896742,0.9794140934283452,0.9917,0.7675531914893617
300,0.7848362720403023,0.9124487004103967,0.9333333333333333,0.9551851851851851,0.9470267363245236,0.9795724465558194,0.9907,0.7473404255319149
200,0.776272040302267,0.8803631389130705,0.9193650793650794,0.9340740740740741,0.9270129071911494,0.973950910530483,0.9888,0.6914893617021277
100,0.7401511335012595,0.8411889068523816,0.8904761904761904,0.9251851851851852,0.9071911493546404,0.9212193190815519,0.9854,0.6484042553191489
