step,SUN397,Cars,RESISC45,EuroSAT,SVHN,GTSRB,MNIST,DTD
1000,0.7015617128463476,0.80089541101853,0.9122222222222223,0.9740740740740741,0.9439535955746773,0.9784639746634997,0.992,0.7563829787234042
900,0.6951133501259446,0.7981594329063549,0.9095238095238095,0.9662962962962963,0.942801167793485,0.9788598574821853,0.992,0.75
800,0.6893198992443325,0.7919413008332297,0.9084126984126984,0.9633333333333334,0.9407267977873387,0.9736342042755345,0.9919,0.7484042553191489
700,0.6851889168765743,0.7833602785723168,0.8993650793650794,0.9662962962962963,0.9373847572218807,0.9726049089469517,0.9918,0.7457446808510638
600,0.6829722921914357,0.7828628280064669,0.8896825396825396,0.9592592592592593,0.9360786724031961,0.9706254948535233,0.9907,0.7382978723404255
500,0.6753652392947104,0.7663225966919537,0.8941269841269841,0.9566666666666667,0.9325445605408728,0.9668250197941409,0.9895,0.726063829787234
400,0.6694206549118388,0.7470463872652655,0.8852380952380953,0.95,0.9264366933005531,0.9615993665874901,0.9867,0.698936170212766
300,0.6647355163727959,0.7061310782241015,0.8742857142857143,0.9388888888888889,0.9153349723417332,0.9525732383214568,0.9846,0.6670212765957447
200,0.6539546599496222,0.653774406168387,0.8333333333333334,0.9218518518518518,0.9066149354640443,0.9451306413301662,0.9771,0.5973404255319149
100,0.6374307304785894,0.60029847033951,0.7838095238095238,0.8851851851851852,0.8713890596189305,0.8694378463974664,0.9734,0.5297872340425532
