step,SUN397,Cars,RESISC45,EuroSAT,SVHN,GTSRB,MNIST,DTD
1000,0.8125944584382871,0.9281183932346723,0.9374603174603174,0.9725925925925926,0.9696143208358943,0.9847980997624703,0.9916,0.8069148936170213
900,0.8110327455919395,0.9269991294615098,0.9373015873015873,0.965925925925926,0.9687692071296865,0.9844022169437846,0.9926,0.8079787234042554
800,0.8054408060453401,0.9279940305932098,0.936031746031746,0.9677777777777777,0.9658113091579594,0.985193982581156,0.9911,0.8031914893617021
700,0.802015113350126,0.9255067777639597,0.9376190476190476,0.96,0.9630454824830977,0.9856690419635787,0.99,0.8031914893617021
600,0.7979848866498741,0.9242631513493347,0.9338095238095238,0.9592592592592593,0.958819913952059,0.9834520981789391,0.991,0.7941489361702128
500,0.793904282115869,0.9212784479542345,0.9247619047619048,0.9555555555555556,0.9542486170866625,0.9827395091053048,0.9897,0.7914893617021277
400,0.7770780856423174,0.9180450192762094,0.9219047619047619,0.9392592592592592,0.9427243392747388,0.9826603325415677,0.9895,0.7718085106382979
300,0.768816120906801,0.908344733242134,0.9055555555555556,0.9288888888888889,0.9259373079287031,0.9802058590657166,0.9872,0.7404255319148936
200,0.7556171284634761,0.8951622932471086,0.8715873015873016,0.9148148148148149,0.896819299323909,0.9756136183689628,0.9833,0.7138297872340426
100,0.7596473551637279,0.8778758860838204,0.8590476190476191,0.8911111111111111,0.8781883835279656,0.9558986539984164,0.9811,0.7095744680851064
