step,SUN397,Cars,RESISC45,EuroSAT,SVHN,GTSRB,MNIST,DTD
1000,0.8119395465994962,0.9262529536127347,0.9415873015873016,0.9848148148148148,0.9697295636140135,0.9870942201108472,0.9931,0.8202127659574469
900,0.813551637279597,0.9266260415371222,0.9423809523809524,0.9862962962962963,0.9691149354640443,0.9871733966745844,0.9927,0.8170212765957446
800,0.811183879093199,0.9242631513493347,0.9393650793650794,0.9814814814814815,0.9685387215734481,0.9872525732383215,0.9915,0.8143617021276596
700,0.8053904282115869,0.9246362392737222,0.9371428571428572,0.9781481481481481,0.9629686539643516,0.9869358669833729,0.9922,0.8122340425531915
600,0.7969773299748111,0.9243875139907972,0.9373015873015873,0.9707407407407408,0.9615473263675476,0.9869358669833729,0.9914,0.8079787234042554
500,0.7854408060453401,0.9237657007834846,0.936984126984127,0.9648148148148148,0.9552858020897357,0.9863024544734759,0.99,0.7851063829787234
400,0.770176322418136,0.9158064917298844,0.9263492063492064,0.9618518518518518,0.9393438844499078,0.9840855106888361,0.9897,0.7670212765957447
300,0.7624181360201512,0.9044894913567965,0.9042857142857142,0.9444444444444444,0.9108789182544561,0.9819477434679335,0.9888,0.7329787234042553
200,0.7572292191435769,0.891555776644696,0.8763492063492063,0.9174074074074074,0.8796865396435156,0.9774346793349169,0.986,0.7122340425531914
100,0.7567758186397985,0.86593707250342,0.8703174603174603,0.8988888888888888,0.8527965580823602,0.9547901821060966,0.9818,0.7047872340425532
