step,SUN397,Cars,RESISC45,EuroSAT,SVHN,GTSRB,MNIST,DTD
1000,0.7855415617128464,0.9266260415371222,0.9428571428571428,0.9655555555555555,0.9586662569145666,0.9872525732383215,0.993,0.825
900,0.7840302267002519,0.9261285909712722,0.940952380952381,0.9640740740740741,0.9585510141364475,0.9857482185273159,0.9932,0.825
800,0.7858438287153653,0.9265016788956597,0.9384126984126984,0.9662962962962963,0.960318070067609,0.9851148060174189,0.9926,0.8207446808510638
700,0.7805037783375315,0.9260042283298098,0.9398412698412698,0.9666666666666667,0.9576290719114936,0.9838479809976247,0.9922,0.8228723404255319
600,0.7800503778337532,0.9257555030468847,0.9333333333333333,0.9629629629629629,0.9519437615242778,0.9855106888361045,0.9922,0.8180851063829787
500,0.7780856423173803,0.9255067777639597,0.926984126984127,0.9607407407407408,0.9516748617086662,0.9828978622327791,0.9918,0.8186170212765957
400,0.771536523929471,0.9226464370103221,0.9204761904761904,0.9637037037037037,0.9458358942839582,0.9824228028503563,0.9909,0.8106382978723404
300,0.7695717884130983,0.9205322721054595,0.9142857142857143,0.9544444444444444,0.942801167793485,0.981631037212985,0.99,0.798936170212766
200,0.7672544080604534,0.9164283049371968,0.9158730158730158,0.9525925925925925,0.9245543945912723,0.9829770387965162,0.9886,0.7813829787234042
100,0.7620654911838791,0.8920532272105459,0.9017460317460317,0.9385185185185185,0.9078441917639828,0.9649247822644498,0.9877,0.7276595744680852
